league,line,goals_total,minute_bucket,min_min,max_min,n,median_odds,p25_odds,p75_odds
GER,2.5,2,40-50,40,50,37,1.2,1.14,1.5
GER,2.5,2,50-60,50,60,27,1.31,1.22,1.93
GER,2.5,2,60-70,60,70,37,1.51,1.35,2.4
GER,2.5,2,70-80,70,80,32,1.73,1.518,2.585
GER,2.5,2,80-90,80,90,22,2.29,1.925,2.43
GER,2.5,2,all,0,999,188,1.47,1.22,1.98
GER,3.5,3,30-40,30,40,4,1.68,1.495,1.752
GER,3.5,3,40-50,40,50,14,1.2,1.12,1.64
GER,3.5,3,50-60,50,60,13,1.51,1.25,2.44
GER,3.5,3,60-70,60,70,17,1.4,1.37,1.53
GER,3.5,3,70-80,70,80,27,1.69,1.52,1.865
GER,3.5,3,80-90,80,90,18,1.965,1.76,2.265
GER,3.5,3,all,0,999,93,1.61,1.37,2.04
FRA,0.5,0,30-40,30,40,158,1.19,1.15,1.23
FRA,0.5,0,40-50,40,50,133,1.28,1.23,1.36
FRA,0.5,0,50-60,50,60,85,1.37,1.29,1.42
FRA,0.5,0,60-70,60,70,53,1.58,1.44,1.7
FRA,0.5,0,70-80,70,80,47,1.9,1.7,2.1
FRA,0.5,0,80-90,80,90,25,2.5,2.24,3.0
FRA,0.5,0,all,0,999,501,1.3,1.2,1.47
FRA,1.5,1,30-40,30,40,149,1.2,1.14,1.75
FRA,1.5,1,40-50,40,50,163,1.26,1.21,1.395
FRA,1.5,1,50-60,50,60,116,1.38,1.288,1.985
FRA,1.5,1,60-70,60,70,100,1.55,1.438,1.76
FRA,1.5,1,70-80,70,80,97,1.82,1.63,2.04
FRA,1.5,1,80-90,80,90,38,2.59,2.215,4.9
FRA,1.5,1,all,0,999,663,1.45,1.24,1.97
FRA,2.5,2,30-40,30,40,57,1.45,1.17,1.69
FRA,2.5,2,40-50,40,50,93,1.27,1.21,1.86
FRA,2.5,2,50-60,50,60,80,1.59,1.31,2.34
FRA,2.5,2,60-70,60,70,69,1.67,1.51,2.76
FRA,2.5,2,70-80,70,80,84,1.97,1.73,4.425
FRA,2.5,2,80-90,80,90,57,2.46,2.12,2.92
FRA,2.5,2,all,0,999,440,1.76,1.355,2.365
FRA,3.5,3,30-40,30,40,12,1.195,1.137,1.732
FRA,3.5,3,40-50,40,50,34,1.43,1.19,1.998
FRA,3.5,3,50-60,50,60,52,1.45,1.248,2.49
FRA,3.5,3,60-70,60,70,62,1.66,1.475,3.25
FRA,3.5,3,70-80,70,80,71,1.87,1.69,4.55
FRA,3.5,3,80-90,80,90,55,2.5,2.13,6.3
FRA,3.5,3,all,0,999,286,1.9,1.472,3.15
MLS,0.5,0,30-40,30,40,117,1.12,1.09,1.14
MLS,0.5,0,40-50,40,50,104,1.17,1.13,1.23
MLS,0.5,0,50-60,50,60,60,1.255,1.21,1.3
MLS,0.5,0,60-70,60,70,40,1.31,1.258,1.363
MLS,0.5,0,70-80,70,80,39,1.54,1.42,1.615
MLS,0.5,0,80-90,80,90,23,1.74,1.605,1.9
MLS,0.5,0,all,0,999,383,1.19,1.12,1.31
MLS,1.5,1,30-40,30,40,108,1.13,1.09,1.452
MLS,1.5,1,40-50,40,50,139,1.2,1.12,1.58
MLS,1.5,1,50-60,50,60,84,1.285,1.23,1.887
MLS,1.5,1,60-70,60,70,55,1.34,1.255,2.07
MLS,1.5,1,70-80,70,80,54,1.485,1.34,1.583
MLS,1.5,1,80-90,80,90,32,1.7,1.583,2.335
MLS,1.5,1,all,0,999,472,1.31,1.157,1.6
MLS,2.5,2,30-40,30,40,43,1.4,1.255,1.685
MLS,2.5,2,40-50,40,50,63,1.53,1.215,1.895
MLS,2.5,2,50-60,50,60,40,1.505,1.21,1.958
MLS,2.5,2,60-70,60,70,58,1.365,1.262,2.02
MLS,2.5,2,70-80,70,80,70,1.725,1.402,3.075
MLS,2.5,2,80-90,80,90,27,1.62,1.475,2.82
MLS,2.5,2,all,0,999,301,1.52,1.3,2.06
MLS,3.5,3,30-40,30,40,7,1.58,1.34,2.285
MLS,3.5,3,40-50,40,50,16,1.71,1.325,2.44
MLS,3.5,3,50-60,50,60,24,1.87,1.182,2.125
MLS,3.5,3,60-70,60,70,37,2.06,1.3,2.36
MLS,3.5,3,70-80,70,80,55,2.38,1.39,3.175
MLS,3.5,3,80-90,80,90,39,2.92,1.63,3.9
MLS,3.5,3,all,0,999,178,1.985,1.373,3.0
BRA,0.5,0,30-40,30,40,72,1.24,1.18,1.282
BRA,0.5,0,40-50,40,50,85,1.32,1.28,1.38
BRA,0.5,0,50-60,50,60,32,1.455,1.37,1.512
BRA,0.5,0,60-70,60,70,31,1.58,1.46,1.74
BRA,0.5,0,70-80,70,80,30,1.845,1.665,2.042
BRA,0.5,0,80-90,80,90,6,2.45,1.998,2.715
BRA,0.5,0,all,0,999,256,1.34,1.26,1.52
BRA,1.5,1,30-40,30,40,62,1.26,1.192,1.728
BRA,1.5,1,40-50,40,50,91,1.32,1.26,1.985
BRA,1.5,1,50-60,50,60,50,1.435,1.353,2.595
BRA,1.5,1,60-70,60,70,68,1.615,1.47,1.89
BRA,1.5,1,70-80,70,80,36,1.995,1.788,2.455
BRA,1.5,1,80-90,80,90,26,2.39,2.14,2.995
BRA,1.5,1,all,0,999,333,1.55,1.31,2.2
BRA,2.5,2,30-40,30,40,26,1.705,1.218,1.992
BRA,2.5,2,40-50,40,50,50,1.41,1.25,2.275
BRA,2.5,2,50-60,50,60,51,1.41,1.33,2.6
BRA,2.5,2,60-70,60,70,49,1.69,1.51,3.1
BRA,2.5,2,70-80,70,80,47,1.87,1.76,3.575
BRA,2.5,2,80-90,80,90,28,2.37,2.075,8.25
BRA,2.5,2,all,0,999,251,1.82,1.405,2.59
BRA,3.5,3,30-40,30,40,7,1.94,1.48,2.03
BRA,3.5,3,40-50,40,50,17,2.18,1.3,2.42
BRA,3.5,3,50-60,50,60,10,1.37,1.29,2.66
BRA,3.5,3,60-70,60,70,28,1.8,1.518,3.288
BRA,3.5,3,70-80,70,80,34,2.06,1.74,5.6
BRA,3.5,3,80-90,80,90,21,7.2,2.44,10.5
BRA,3.5,3,all,0,999,117,2.12,1.63,4.3
